Tag,1844.2.1,1853.9.4,1862.9.3,1915.9.2,1885.6.13,1867.11.17,1903.10.24,
SUD,0,0,0,0,0,0,0,
SUL,34354,33731,33262,0,33905,33112,35211,
SVY,0,0,0,0,0,0,0,
SWE,0,0,0,0,0,0,0,
SWH,0,0,0,0,0,0,0,
SWI,0,0,0,0,0,0,0,
SWK,0,0,0,0,0,0,0,
SXI,0,0,0,0,0,0,0,
SYC,0,0,0,0,0,0,0,
SYR,0,0,0,0,0,0,0,
SZC,0,0,0,0,0,0,0,
TAI,60923055,85082461,96328601,104709003,98106226,96704978,107532718,
TAJ,0,0,0,0,0,0,0,
TAP,0,0,0,0,0,0,0,
TAR,0,0,0,0,0,0,0,
TCA,0,0,0,0,0,0,0,
TEX,0,0,0,0,0,0,0,
TGA,0,0,0,0,0,0,0,
THU,0,0,0,0,0,0,0,
TIB,504330,505805,501931,0,514829,503755,49971,
TIG,0,0,0,0,0,0,0,
TIR,0,0,0,0,0,0,0,
TJK,0,111370,106065,0,111627,105605,0,
TKG,0,0,0,0,0,0,0,
TKM,0,0,0,0,0,0,0,
TKS,0,0,0,0,0,0,0,
TMR,0,0,0,0,0,0,0,
TNG,0,0,0,0,0,0,0,
TNT,0,30884,26623,0,0,0,0,
TNZ,0,0,0,0,0,0,0,
TOG,0,0,0,0,0,0,0,
TON,799241,774409,775137,0,0,776555,0,
TOO,0,0,0,0,0,0,0,
TOS,0,0,0,0,0,0,0,
TOU,0,1505427,1029800,0,0,209919,0,
TPG,0,0,0,0,0,0,0,
TRA,0,0,0,0,0,0,0,
TRE,0,0,0,0,0,0,0,
TRI,0,0,0,0,0,0,0,
TRN,242145,407590,0,0,0,0,0,
TRO,0,0,0,0,0,0,0,
TRZ,0,0,0,0,0,0,0,
TSS,0,0,0,0,0,0,0,
TSW,0,0,0,0,0,0,0,
TTB,0,0,0,0,0,0,0,
TUI,34678,31994,29953,28904,28175,28503,28422,
TUN,373140,0,0,0,0,0,0,
TUR,7034782,9002269,10198961,22633579,15338447,10630033,19955472,
TUS,448353,0,0,0,0,0,0,
UAR,0,0,0,0,0,0,0,
UBD,0,0,0,0,0,0,0,
UCA,0,0,0,0,0,0,0,
UGH,0,0,0,0,0,0,0,
UIL,0,0,0,0,0,0,0,
UKR,1175035,1184705,0,0,0,0,0,
UNB,0,0,0,0,0,0,0,
UNM,0,0,0,0,0,0,0,
