Tag,1844.2.1,1853.9.4,1862.9.3,1915.9.2,1885.6.13,1867.11.17,1903.10.24,
WAD,0,0,0,0,0,0,0,
WAL,0,0,0,0,0,0,0,
WEI,0,0,0,0,0,0,0,
WES,0,0,0,0,0,0,0,
WHA,0,0,0,0,0,0,0,
WIA,0,0,0,0,0,0,0,
WLL,0,0,0,0,0,0,0,
WLS,0,0,0,0,0,0,0,
WOL,0,0,0,0,0,0,0,
WRI,0,0,0,0,0,0,0,
WRL,0,0,0,0,0,0,0,
WTT,0,0,0,0,0,0,0,
WUR,0,0,0,0,0,0,0,
XBI,0,0,0,0,0,0,0,
XHO,0,0,0,0,0,0,0,
XIN,0,0,0,0,0,0,0,
YAK,0,0,0,0,0,0,0,
YEM,168168,166602,158567,0,0,157816,0,
YKT,0,0,0,0,0,0,0,
YNN,0,0,0,0,0,0,0,
YUC,0,0,0,0,0,0,0,
YUG,0,0,0,0,0,0,0,
YZW,0,0,0,0,0,0,0,
ZAM,0,0,0,0,0,0,0,
ZAN,0,0,0,0,0,0,0,
ZAP,0,0,0,0,0,0,0,
ZBW,0,0,0,0,0,0,0,
ZIM,0,0,0,0,0,0,0,
ZND,103184,98311,94932,0,78293,86031,76417,
ZUL,143783,0,0,0,0,0,0,
,,,
